ID,Name,Type,Description
126,"Eltz Castle, Germany",Castles,"Eltz Castle has steadily become one of the most-photographed castles on Instagram with many landscape photographers choosing to capture it during the eerie hours of the day. The castle sits on top of a hill surrounded by a thick forest, adding to the mysterious feel. Located in Rheinland-Palatine, known as the Moselle wine region famous for Riesling wine, due to its secluded position, it feels worlds away. Just like many medieval castles, Eltz Castle has seen its fair share of conflict but was never destroyed over the centuries. Interestingly, Eltz Family has possession of the castle to this day."
127,"Eilean Donan, Scotland",Castles,"Eilean Donan is perhaps one of the most well-known medieval castles, easily recognized by almost anyone. Partly, thanks to being featured in the 1986 film Highlander, but also as one of the must-see places in the Western Highlands of Scotland. This highland gem is located on an island between three sea lochs � Loch Duich, Loch Long and Loch Alsh. Historically, it was a stronghold for the Clan Mackenzie and was established in the 13th century. Unfortunately, the original castle suffered destruction in the 18th century during the Jacobite rebellions and was rebuilt in the 20th century."
128,"Edinburgh Castle, Scotland",Castles,"25 Most Beautiful Medieval Castles in the World Despite the Middle Ages also being referred to as the Dark Ages, a period associated with an overall decline after the fall of the Roman Empire, certain beautiful relics, like medieval castles, have survived through the centuries. All over Europe, you can find these strongholds, each with its unique features. Some perched on top of a mountain, others seemingly floating above water, and some nearly hidden by the leafy cover of trees, medieval castles had to be both functional, durable, and easy on the eyes, considering that many were an escape to the royalty and aristocrats. Many of Europe�s medieval castles are iconic and easily recognized, while others are off the beaten path. Here is our pick of the 25 most beautiful medieval castles in the world. 1. Eltz Castle, Germany Eltz Castle, Germany Source: leoks / shutterstock Eltz Castle, Germany Eltz Castle has steadily become one of the most-photographed castles on Instagram with many landscape photographers choosing to capture it during the eerie hours of the day. The castle sits on top of a hill surrounded by a thick forest, adding to the mysterious feel. Located in Rheinland-Palatine, known as the Moselle wine region famous for Riesling wine, due to its secluded position, it feels worlds away. Just like many medieval castles, Eltz Castle has seen its fair share of conflict but was never destroyed over the centuries. Interestingly, Eltz Family has possession of the castle to this day. 2. Eilean Donan, Scotland Eilean Donan, Scotland Source: Darren Blight / shutterstock Eilean Donan, Scotland Eilean Donan is perhaps one of the most well-known medieval castles, easily recognized by almost anyone. Partly, thanks to being featured in the 1986 film Highlander, but also as one of the must-see places in the Western Highlands of Scotland. This highland gem is located on an island between three sea lochs � Loch Duich, Loch Long and Loch Alsh. Historically, it was a stronghold for the Clan Mackenzie and was established in the 13th century. Unfortunately, the original castle suffered destruction in the 18th century during the Jacobite rebellions and was rebuilt in the 20th century. 3. Edinburgh Castle, Scotland Edinburgh Castle Source: Michal 11 / shutterstock Edinburgh Castle Another Scottish beauty is the Edinburgh Castle. Sitting on top of Castle Rock, it overlooks the capital of Scotland. Unsurprising, considering the majority of medieval castles had strategic locations; the key was being able to see the enemy and remain difficult to reach. A dramatic history didn�t spare Edinburgh Castle due to the tensions between England and Scotland. During the First and Second Wars of Scottish Independence, the ownership of the castle changed between the Scottish and the English several times. To this day, Edinburgh Castle remains a top attraction for anyone visiting the city and tourists can take part in various guided tours and events. And if that�s not your cup of tea, why not simply enjoy the stunning views?"
129,"Bran Castle, Romania",Castles,"When talking about medieval castles, mentioning Romania is a must. Most people will immediately think of Dracula and Transylvania. Many consider Bran Castle in Central Romania directly linked to Bram Stoker�s character, however, no direct links to that exist. Bran Castle sits atop on a former Teutonic Knights stronghold dating back to the early 13th century, but the castle itself first appeared in documents dating back to 1377. The castle is approximately 2500 feet above the sea level and rises from between surrounding trees. It overlooks the picturesque village of Bran, and the several towers and turrets give it a mysterious mood. Nowadays tourists can visit the castle and wander through the narrow stairways leading to 60 timbered rooms, interestingly, many of them connected by underground passages."
130,"Kilkenny Castle, Ireland",Castles,"Kilkenny Castle in Ireland is a signature Anglo-Norman stone castle which actually started out as a wooden fort in the second half of the 12th century. Over the centuries the castle has gone through several changes and to this day bears elements of various architectural styles, mainly Gothic Revival. Its location historically was a strategic point controlling the crossing of River Nore. These days, the castle is surrounded by vast gardens with manicured lawns, where visitors can slowly enjoy and observe the castle. Visitors can also tour the castle interiors and immerse themselves in historic magnificence."
131,"Mont-Saint-Michel, France",Castles,"Few places in the world are as magical as the Mont-Saint-Michel Bay in France. The awe-inspiring island located where Normandy and Brittany meet is otherworldly and unique. Even though not technically a castle, it would be difficult for anyone to deny its magnificence. What sits on top of the island is a medieval monastery attracting pilgrims for centuries. The legend tells that bishop Aubert from a nearby town was ordered by Archangel Michael himself to build a church on top of the island. Construction of a Benedictine abbey begun in the late 10th century. The scenery surrounding the island is everchanging as the tides of the bay can recede quickly, revealing a completely different view. During the low tide, the island can be reached on foot, and hundreds of tourists visit each day. Museums, parish church, and the abbey are open for visitors."
132,"Windsor Castle, England",Castles,"25 Most Beautiful Medieval Castles in the World Despite the Middle Ages also being referred to as the Dark Ages, a period associated with an overall decline after the fall of the Roman Empire, certain beautiful relics, like medieval castles, have survived through the centuries. All over Europe, you can find these strongholds, each with its unique features. Some perched on top of a mountain, others seemingly floating above water, and some nearly hidden by the leafy cover of trees, medieval castles had to be both functional, durable, and easy on the eyes, considering that many were an escape to the royalty and aristocrats. Many of Europe�s medieval castles are iconic and easily recognized, while others are off the beaten path. Here is our pick of the 25 most beautiful medieval castles in the world. 1. Eltz Castle, Germany Eltz Castle, Germany Source: leoks / shutterstock Eltz Castle, Germany Eltz Castle has steadily become one of the most-photographed castles on Instagram with many landscape photographers choosing to capture it during the eerie hours of the day. The castle sits on top of a hill surrounded by a thick forest, adding to the mysterious feel. Located in Rheinland-Palatine, known as the Moselle wine region famous for Riesling wine, due to its secluded position, it feels worlds away. Just like many medieval castles, Eltz Castle has seen its fair share of conflict but was never destroyed over the centuries. Interestingly, Eltz Family has possession of the castle to this day. 2. Eilean Donan, Scotland Eilean Donan, Scotland Source: Darren Blight / shutterstock Eilean Donan, Scotland Eilean Donan is perhaps one of the most well-known medieval castles, easily recognized by almost anyone. Partly, thanks to being featured in the 1986 film Highlander, but also as one of the must-see places in the Western Highlands of Scotland. This highland gem is located on an island between three sea lochs � Loch Duich, Loch Long and Loch Alsh. Historically, it was a stronghold for the Clan Mackenzie and was established in the 13th century. Unfortunately, the original castle suffered destruction in the 18th century during the Jacobite rebellions and was rebuilt in the 20th century. 3. Edinburgh Castle, Scotland Edinburgh Castle Source: Michal 11 / shutterstock Edinburgh Castle Another Scottish beauty is the Edinburgh Castle. Sitting on top of Castle Rock, it overlooks the capital of Scotland. Unsurprising, considering the majority of medieval castles had strategic locations; the key was being able to see the enemy and remain difficult to reach. A dramatic history didn�t spare Edinburgh Castle due to the tensions between England and Scotland. During the First and Second Wars of Scottish Independence, the ownership of the castle changed between the Scottish and the English several times. To this day, Edinburgh Castle remains a top attraction for anyone visiting the city and tourists can take part in various guided tours and events. And if that�s not your cup of tea, why not simply enjoy the stunning views? 4. Bran Castle, Romania Bran Castle, Romania Source: Cristian Balate / shutterstock Bran Castle When talking about medieval castles, mentioning Romania is a must. Most people will immediately think of Dracula and Transylvania. Many consider Bran Castle in Central Romania directly linked to Bram Stoker�s character, however, no direct links to that exist. Bran Castle sits atop on a former Teutonic Knights stronghold dating back to the early 13th century, but the castle itself first appeared in documents dating back to 1377. The castle is approximately 2500 feet above the sea level and rises from between surrounding trees. It overlooks the picturesque village of Bran, and the several towers and turrets give it a mysterious mood. Nowadays tourists can visit the castle and wander through the narrow stairways leading to 60 timbered rooms, interestingly, many of them connected by underground passages. 5. Kilkenny Castle, Ireland Kilkenny Castle, Ireland Source: Madrugada Verde / shutterstock Kilkenny Castle Kilkenny Castle in Ireland is a signature Anglo-Norman stone castle which actually started out as a wooden fort in the second half of the 12th century. Over the centuries the castle has gone through several changes and to this day bears elements of various architectural styles, mainly Gothic Revival. Its location historically was a strategic point controlling the crossing of River Nore. These days, the castle is surrounded by vast gardens with manicured lawns, where visitors can slowly enjoy and observe the castle. Visitors can also tour the castle interiors and immerse themselves in historic magnificence. 6. Mont-Saint-Michel, France Mont-Saint-Michel Source: Gaspar Janos / shutterstock Mont-Saint-Michel Few places in the world are as magical as the Mont-Saint-Michel Bay in France. The awe-inspiring island located where Normandy and Brittany meet is otherworldly and unique. Even though not technically a castle, it would be difficult for anyone to deny its magnificence. What sits on top of the island is a medieval monastery attracting pilgrims for centuries. The legend tells that bishop Aubert from a nearby town was ordered by Archangel Michael himself to build a church on top of the island. Construction of a Benedictine abbey begun in the late 10th century. The scenery surrounding the island is everchanging as the tides of the bay can recede quickly, revealing a completely different view. During the low tide, the island can be reached on foot, and hundreds of tourists visit each day. Museums, parish church, and the abbey are open for visitors. 7. Windsor Castle, England Windsor Castle Source: Mistervlad / shutterstock Windsor Castle Possibly one of the most famous castles in Europe is Windsor Castle in England, which has been the home of British royalty for centuries. Ever since Henry I ruled over England in the 12th century, this Berkshire palace has been used by the reigning monarch and therefore has had the longest occupancy for a palace in Europe. The castle is surrounded by 13 acres of land and features a fortification, a palace, and a small town. These days the castle features a Georgian and Victorian design based on a medieval structure, with Gothic features. As you would expect in any home of a monarch, impressive and renowned art pieces feature within the castle. Being one of the three official residences of the Queen, it is still fully operational and attracting tourists is not its main purpose. Visitors can expect to visit State Apartments as well as the St George�s Chapel and witness changing of the Guard."
133,"Castel del Monte, Italy",Castles,"Not surprisingly, most people expect to see sharp towers rising above treetops when thinking of medieval castles. However, not all fit this description, and Castel del Monte in Southern Italy certainly stands out. The 13th-century citadel in Apulia region was built by Emperor Frederick II. The ascetic and fortress-like octagon facade features elements from classical antiquity, the Islamic Orient and north European Cistercian Gothic. The castle sits on a rocky peak in a secluded forest, and the building itself has undergone no significant structural changes."
134,"Alhambra, Spain",Castles,"The palace and fortress complex in Andalusia, Spain, known as Alhambra, was built in the 13th century by Nasrid emir Mohammed ben Al-Ahmar of the Emirate of Granada. Built on top of former Roman fortification ruins, it became a royal palace in 1333, and a century later the site became the Royal Court of Ferdinand and Isabella. The legend has it, Christopher Columbus got an endorsement for his expedition there. Alhambra strongly reflects the Moorish architecture elements signature to the reign of the last Muslim dynasty on the Iberian Peninsula. The number of visitors allowed to go to Alhambra is highly limited therefore visits should be planned well ahead of time. Alhambra includes the Royal complex, Court of the Myrtles, Hall of the Ambassadors, Hall of the Abencerrajes, a Court of the Lions and fountain and other features."
135,"Vianden Castle, Luxembourg",Castles,"25 Most Beautiful Medieval Castles in the World Despite the Middle Ages also being referred to as the Dark Ages, a period associated with an overall decline after the fall of the Roman Empire, certain beautiful relics, like medieval castles, have survived through the centuries. All over Europe, you can find these strongholds, each with its unique features. Some perched on top of a mountain, others seemingly floating above water, and some nearly hidden by the leafy cover of trees, medieval castles had to be both functional, durable, and easy on the eyes, considering that many were an escape to the royalty and aristocrats. Many of Europe�s medieval castles are iconic and easily recognized, while others are off the beaten path. Here is our pick of the 25 most beautiful medieval castles in the world. 1. Eltz Castle, Germany Eltz Castle, Germany Source: leoks / shutterstock Eltz Castle, Germany Eltz Castle has steadily become one of the most-photographed castles on Instagram with many landscape photographers choosing to capture it during the eerie hours of the day. The castle sits on top of a hill surrounded by a thick forest, adding to the mysterious feel. Located in Rheinland-Palatine, known as the Moselle wine region famous for Riesling wine, due to its secluded position, it feels worlds away. Just like many medieval castles, Eltz Castle has seen its fair share of conflict but was never destroyed over the centuries. Interestingly, Eltz Family has possession of the castle to this day. 2. Eilean Donan, Scotland Eilean Donan, Scotland Source: Darren Blight / shutterstock Eilean Donan, Scotland Eilean Donan is perhaps one of the most well-known medieval castles, easily recognized by almost anyone. Partly, thanks to being featured in the 1986 film Highlander, but also as one of the must-see places in the Western Highlands of Scotland. This highland gem is located on an island between three sea lochs � Loch Duich, Loch Long and Loch Alsh. Historically, it was a stronghold for the Clan Mackenzie and was established in the 13th century. Unfortunately, the original castle suffered destruction in the 18th century during the Jacobite rebellions and was rebuilt in the 20th century. 3. Edinburgh Castle, Scotland Edinburgh Castle Source: Michal 11 / shutterstock Edinburgh Castle Another Scottish beauty is the Edinburgh Castle. Sitting on top of Castle Rock, it overlooks the capital of Scotland. Unsurprising, considering the majority of medieval castles had strategic locations; the key was being able to see the enemy and remain difficult to reach. A dramatic history didn�t spare Edinburgh Castle due to the tensions between England and Scotland. During the First and Second Wars of Scottish Independence, the ownership of the castle changed between the Scottish and the English several times. To this day, Edinburgh Castle remains a top attraction for anyone visiting the city and tourists can take part in various guided tours and events. And if that�s not your cup of tea, why not simply enjoy the stunning views? 4. Bran Castle, Romania Bran Castle, Romania Source: Cristian Balate / shutterstock Bran Castle When talking about medieval castles, mentioning Romania is a must. Most people will immediately think of Dracula and Transylvania. Many consider Bran Castle in Central Romania directly linked to Bram Stoker�s character, however, no direct links to that exist. Bran Castle sits atop on a former Teutonic Knights stronghold dating back to the early 13th century, but the castle itself first appeared in documents dating back to 1377. The castle is approximately 2500 feet above the sea level and rises from between surrounding trees. It overlooks the picturesque village of Bran, and the several towers and turrets give it a mysterious mood. Nowadays tourists can visit the castle and wander through the narrow stairways leading to 60 timbered rooms, interestingly, many of them connected by underground passages. 5. Kilkenny Castle, Ireland Kilkenny Castle, Ireland Source: Madrugada Verde / shutterstock Kilkenny Castle Kilkenny Castle in Ireland is a signature Anglo-Norman stone castle which actually started out as a wooden fort in the second half of the 12th century. Over the centuries the castle has gone through several changes and to this day bears elements of various architectural styles, mainly Gothic Revival. Its location historically was a strategic point controlling the crossing of River Nore. These days, the castle is surrounded by vast gardens with manicured lawns, where visitors can slowly enjoy and observe the castle. Visitors can also tour the castle interiors and immerse themselves in historic magnificence. 6. Mont-Saint-Michel, France Mont-Saint-Michel Source: Gaspar Janos / shutterstock Mont-Saint-Michel Few places in the world are as magical as the Mont-Saint-Michel Bay in France. The awe-inspiring island located where Normandy and Brittany meet is otherworldly and unique. Even though not technically a castle, it would be difficult for anyone to deny its magnificence. What sits on top of the island is a medieval monastery attracting pilgrims for centuries. The legend tells that bishop Aubert from a nearby town was ordered by Archangel Michael himself to build a church on top of the island. Construction of a Benedictine abbey begun in the late 10th century. The scenery surrounding the island is everchanging as the tides of the bay can recede quickly, revealing a completely different view. During the low tide, the island can be reached on foot, and hundreds of tourists visit each day. Museums, parish church, and the abbey are open for visitors. 7. Windsor Castle, England Windsor Castle Source: Mistervlad / shutterstock Windsor Castle Possibly one of the most famous castles in Europe is Windsor Castle in England, which has been the home of British royalty for centuries. Ever since Henry I ruled over England in the 12th century, this Berkshire palace has been used by the reigning monarch and therefore has had the longest occupancy for a palace in Europe. The castle is surrounded by 13 acres of land and features a fortification, a palace, and a small town. These days the castle features a Georgian and Victorian design based on a medieval structure, with Gothic features. As you would expect in any home of a monarch, impressive and renowned art pieces feature within the castle. Being one of the three official residences of the Queen, it is still fully operational and attracting tourists is not its main purpose. Visitors can expect to visit State Apartments as well as the St George�s Chapel and witness changing of the Guard. 8. Castel del Monte, Italy Castel del Monte, Italy Source: canadastock / shutterstock Castel Del Monte Not surprisingly, most people expect to see sharp towers rising above treetops when thinking of medieval castles. However, not all fit this description, and Castel del Monte in Southern Italy certainly stands out. The 13th-century citadel in Apulia region was built by Emperor Frederick II. The ascetic and fortress-like octagon facade features elements from classical antiquity, the Islamic Orient and north European Cistercian Gothic. The castle sits on a rocky peak in a secluded forest, and the building itself has undergone no significant structural changes. 9. Alhambra, Spain Alhambra, Granada Source: esherez / shutterstock Alhambra, Granada The palace and fortress complex in Andalusia, Spain, known as Alhambra, was built in the 13th century by Nasrid emir Mohammed ben Al-Ahmar of the Emirate of Granada. Built on top of former Roman fortification ruins, it became a royal palace in 1333, and a century later the site became the Royal Court of Ferdinand and Isabella. The legend has it, Christopher Columbus got an endorsement for his expedition there. Alhambra strongly reflects the Moorish architecture elements signature to the reign of the last Muslim dynasty on the Iberian Peninsula. The number of visitors allowed to go to Alhambra is highly limited therefore visits should be planned well ahead of time. Alhambra includes the Royal complex, Court of the Myrtles, Hall of the Ambassadors, Hall of the Abencerrajes, a Court of the Lions and fountain and other features. 10. Vianden Castle, Luxembourg Vianden Castle Source: Pigprox / shutterstock Vianden Castle In the small European country of Luxembourg, nestled between France, Germany, and Belgium, there is one of largest fortified castles west of the Rhine � Vianden Castle. Even though origins date back to the 10th century, the castle was steadily built over three centuries between the 11th and the 14th century. Vianden Castle is an example of the Romanesque style with semi-circular arches, even though there were Gothic additions later on. Just like many other medieval castles, Vianden Castle lies on top of a hill overlooking the town of Vianden. Until the early 15th century it was the seat of prominent counts of Vianden with close connections to the Royal Family of France and the German imperial court."
136,"Ch�teau de Suscinio, France",Castles,"In the North West of France on the coast of the Atlantic Ocean, there is Ch�teau de Suscinio. Designed to be the residence of Dukes of Brittany, this late-medieval castle features a moated castle, a ruined chapel, a dovecote, and a few ruined outbuildings. Ch�teau de Suscinio originally was meant to be a manor for managing the agricultural estate, however, in the mid-12th century, it was extended to a castle. During the Wars of the Roses, the castle housed Jasper and Henry Tudors as well as other exiled Lancastrians of England. The castle is surrounded by marshes where exceptional fauna and flora are present. Ch�teau de Suscinio is a unique medieval example of Western European fortresses as it remains well-preserved while others have suffered significant damage due to cannon fires."
137,"Malbork Castle, Poland",Castles,"Malbork Castle, also known as Castle of the Teutonic Order in Malbork, is a 13th-century castle and fortress in Northern Poland. According to UNESCO, it is the largest castle in the world measured by land area. When it was completed in 1406, it was the largest brick castle in the world. Due to a growing number of Teutonic Knights, the castle was expanded several times. At one point, it housed over 3000 knights. Due to its strategic location near the Baltic Sea and River Vistula, Teutonic Knights were able to collect tolls from trading ships and barges. The castle was heavily damaged during World War II but since has been rebuilt and is open for visitors."
138,"Trakai Island Castle, Lithuania",Castles,"In a way similar to the Malbork Castle in Poland, the Trakai Island Castle in Lithuania is another unique, large brick castle in Eastern Europe. Located on Lake Galv?, the construction of the castle begun in the late 14th century and it was finished in the first decade of the 15th century. Trakai was one of the main centers of the Grand Duchy of Lithuania. It had great strategic importance but lost its military significance soon after the Battle of Grunwald when the Grand Duchy of Lithuania was defeated by the Lithuanian-Polish army. Before being heavily damaged and eventually fallen in despair in the 17th century, it also served as a prison. The castle was reconstructed in its original style in the 1960s."
139,"Bodiam Castle, England",Castles,"Part of England�s historical significance these days can be appreciated through the many castles scattered across the country, and Bodiam Castle is among one of the most well-known medieval examples after Windsor. The 14th-century moated castle in East Sussex was built by Sir Edward Dalyngrigge, a former knight of Edward III. It was meant to defend the area against French invasion during the Hundred Years� War. Bodiam Castle is one of the few quadrangular castles and has chambers on the outer walls and inner courts. To this day, unfortunately, the interior of the castle has not remained. The castle features a central courtyard, and there are rounded and square towers, originally built for defense. There are three coats of arms in the arch above the main gate."
140,"Bojnice Castle, Slovakia",Castles,"A romantic and almost fairytale-like is the Bojnice Castle in Slovakia. Unsurprisingly, one of the most-visited attractions in Slovakia. Built in the 12th century and restored in the late 19th century, Bojnice Castle was first owned by Matthew III Cs�k, who received it in 1302 from the King Ladislaus V of Hungary. The castle is perched on a travertine hill and these days feature an artistic and historical museum within the castle walls. In late spring, International Festival of Ghosts and Spooks take place. The castle is surrounded by a vast and beautiful park which is an integral part of this remarkable castle."
141,"Hohenwerfen Castle, Austria",Castles,"From fairytale to ghostly, the next in our list is the Hohenwerfen Castle in Austria. Surrounded by the Berchtesgaden Alps and the adjacent Tennen Mountains, this medieval rock castle lies approximately 25 miles south of Salzburg. The fortification was built in the late 11th century to serve as a strategic bulwark on top of a 500 feet high rock. Over the years it served not only as a military base for Salzburg rulers but also as a residence and hunting retreat. Later on, the castle gained an eerie reputation due to being used as a state prison. These days the castle complex serves as a museum showcasing the history and the vast weapons collection. An interesting addition is the Falconry Centre offering flight demonstrations using various birds of prey, including eagles, falcons, hawks, and vultures."
142,"Ch�teau de Pierrefonds, France",Castles,"An exceptional example of defensive medieval military architecture is the Ch�teau de Pierrefonds in France. Robust and gargantuan in its appearance, the many towers appearing from above the treetops and the light facade of the castle certainly have a certain appeal. It was built in the late 14th and early 15th century. It was later destroyed and remained a ruin for more than two centuries. Napoleon I bought it in 1810 for less than 3,000 francs. Since 1862 it has been a monument of great historical significance in France and underwent a major restoration in the late 19th century. Through the years it has been featured in many films and TV series which has made it even more recognizable worldwide."
143,"Corvin Castle, Romania",Castles,"While most people think of Dracula when they hear the name of Transylvania, this part of Romania is truly renowned for its castles. We already mentioned Bran Castle, and this list would not be complete without also mentioning Corvin Castle. The castle was built at the very end of the Middle Ages and is designed in a Gothic-Renaissance style. Corvin Castle is actually one of the largest castles in Europe. The castle features a large and imposing structure with tall towers, bastions, an inner courtyard, diversely colored roofs, and rows of windows and balconies decorated with stone carvings. The Buzdugan Tower was built for defensive purposes. Its exterior is decorated with geometric elements. The castle served as a fortress until the mid-14th century when it became the residence of Transylvania�s voivode, Iancu de Hunedoara."
144,"Hlubok� Castle, Czech Republic",Castles,"Many of the castles built during the Middle Ages served as military strongholds meant for defense, and that certainly can be seen in their appearance. Hlubok� Castle in the Czech Republic is not among those and prominently features a Gothic design and therefore has a rather romantic quality about it looking from a modern standpoint. Even though it was built in the second half of the 13th century, the castle was expanded during Renaissance, then rebuilt into a Baroque castle. It then was rebuilt again after Johann Adolf II von Schwarzenberg ordered the reconstruction of the castle to resemble the romantic style of England�s Windsor Castle."
145,"Doorwerth Castle, Netherlands",Castles,"Not far from Arnhem lies the charming castle of Doorwerth situated on the river Rhine. The first castle, probably a wooden structure, was first mentioned in records around the second half of the 13th century. Later it was rebuilt from stone. The castle of Doorwerth has a unique and truly delightful appearance. Its picturesque surroundings add to the character, and despite being surrounded by a moat, it feels inviting. The grounds of the castle feature one of the oldest trees in Holland. The acacia tree was planted there around the year 1600. Nowadays the castle is open for visitors, it has three museums, and the impressive great hall is available for events and receptions."
146,"Ch�teau du Haut-K�nigsbourg, France",Castles,"Overlooking the Alsatian plain towards the Black Forest, perched in the Vosges mountains is the Ch�teau du Haut-K�nigsbourg. The first records of a castle built in the mountains date back to 1147. This medieval castle has all the necessary features for a fortress and the strategic location allowed for observation and fall-back, if necessary. On the ground floor, it features the living quarters and the keep as well as the grand bastion. The first floor features more living quarters, and beautiful chambers are featured on the second floor. The castle is built from pink sandstone, which is widely featured in this region of France and Germany."
147,"Fenis Castle, Italy",Castles,"F�nis castle is situated on the top of a small knoll unlike many other castles built for military and defense purposes. Despite its defense structure, its function was only to be the seat of the Challant family. Its design is robust but harmonious. Its pentagonal layout features corners with round towers. An exception is the south-west corner, which has a massive tower and the southern corner with a square-plan tower. The keep is enclosed in a double perimeter wall, with watchtowers linked by a walkway. The square tower offers access to the castle and the inner courtyard has a semicircular staircase and wooden balcony, decorated with exquisite frescoes."
148,"Castillo de Coca, Spain",Castles,"In Central Spain in Segovia sits Castillo de Coca. The unique design of the castle will seem like something featured in Game of Thrones to most, but in reality, this 15th-century castle is one of the best examples of Spanish Mudejar brickwork. It incorporates Moorish Muslim design and construction with Gothic architecture. The bricks used in the construction of Castillo de Coca are different from regular bricks as they are hardened to withstand enemy onslaught. Geometrical patterns featured in the castle are a hybrid of Moorish Muslim and Christian Gothic architecture. The defense system of the castle features three tiers consisting of wall circuits enclosed within a moat and a central keep."
149,"Karl�tejn, Czech Republic",Castles,"Built in the mid-14th century, Karl�tejn Castle in the Czech Republic served as a place for safekeeping the Imperial Regalia, crown jewels, holy relics, and other royal treasures. The castle is located approximately 20 miles from Prague and is one of the most-visited attractions in the Czech Republic. As intended in its purpose, the castle had an extensive defense system. Not only is it located on a hill, but it also features a moat, a drawbridge, a battlement, two gates, and a bastion. The architectural elements are mainly Gothic."
150,"Burghausen Castle, Germany",Castles,"Burghausen Castle, with almost all of its medieval fortifications intact, is one of the largest castle complexes in the world and the longest, according to the Guinness World Record company. This medieval Bavarian castle was the second residence of the dukes of Lower Bavaria. It is built in Gothic style with an inner courtyard and five outer courtyards. Located near the borders of Germany and Austria, the castle offers unmatched views of its surroundings and is a must-see when visiting Lower Bavaria. The gallery within the castle has a collection of late Gothic panel paintings and a monumental picture cycle illustrating the history of Bavaria."
151,Zeitz Museum of Contemporary Art Africa in Cape Town,Museums/Art Galleries,"With the help of design firm Heatherwick Studio, the once magnolia yellow, century-old grain silo complex in the heart of Cape Town transformed into a 100-gallery museum of 21st-century art from Africa and its diaspora. Zeitz MOCAA hosts international events and exhibitions to provide an intercultural look into the world of African art. Works from revolutionary artists such as Kudzanai Chiurai of Zimbabwe and Wangechi Mutu of Kenya decorate the nine floors of the museum."
152,National Gallery of Canada in Ottawa,Museums/Art Galleries,"When the National Gallery of Canada was established in 1880, the first exhibition primarily consisted of 19th-century works at the historic Clarendon Hotel in Ottawa. Over 140 years later, a 30-foot bronze spider, called the Maman, greets visitors at the gallery�s new home designed by architect Moshe Safdie. The national art museum now houses 75,000 works of art ranging for Canadian and Indigenous pieces to the neoclassicist painting The Death of General Wolfe by Benjamin West."
153,Tate Modern in London,Museums/Art Galleries,"The birth of Tate Modern began in 1889 when Henry Tate, a British industrialist, donated his collection of British 19th-century art and provided funding for the first Tate Gallery. A century later, the Tate Trustees announced the development of an international modern and contemporary art gallery. Located within the former Bankside Power Station, the gallery showcases groundbreaking works including Marilyn Diptych by Andy Warhol and Nude Woman With Necklace by Pablo Picasso."
154,The Metropolitan Museum Of Art in New York City,Museums/Art Galleries,"The beginnings of the Metropolitan Museum of Art date back as far as 1866 in Paris, France, where a group of Americans discussed the need to bring art education to the public. On April 13, 1870, the Met opened within the historic Dodworth Building before moving to its permanent location on Fifth Avenue and 82nd Street in 1880. The museum presents over 5,000 years of artwork including Islamic art dating back to the seventh century and the well-known Edgar Degas� painting, The Dance Class."
155,"Mauritshuis in The Hague, Netherlands",Museums/Art Galleries,"Known as the Royal Picture Gallery of the Netherlands, Mauritshuis houses a rare collection of Golden Age paintings from countless Dutch and Flemish artisans. In 1816, King William I offered the collections once owned by his father, stadtholder Prince William V, to the Dutch state, establishing the first national gallery in The Hague. The Mauritshuis� 841 works of art include Johannes Vermeer�s Girl with a Pearl Earring and Carel Fabritius� The Goldfinch."
156,The National Palace Museum in Taipei,Museums/Art Galleries,"The National Palace Museum originally began as the former Palace Museum in the Forbidden City, whose collection included artwork from the Ming and Qing dynasties. The permanent collection features nearly 700,000 pieces of imperial artifacts and encompasses 8,000 years of Chinese history including calligraphic works by Tang Yin. The National Palace Museum compound also includes the classic Chinese Song- and Ming-style Zhishan Garden."
157,The Museum Egyptian Antiquities in Cairo,Museums/Art Galleries,"One of the largest museums in North Africa, the Egyptian Museum houses nearly 120,000 ancient Egyptian artifacts and the world�s largest collection of Pharaonic antiquities. The museum was commissioned in 1835 by the Egyptian government in hopes to stop the looting of many archeological and historic sites. Visitors can come face-to-face with the Gold Mask of Tutankhamun, which is composed of 11 kilograms of solid gold."
158,Kunsthistorisches Museum in Vienna,Museums/Art Galleries,"Emperor Franz Joseph I of Austria-Hungary commissioned the Kunsthistorisches Museum around 1891 as a place to display the terrific art collection from the House of Hapsburgs, which is the still the museum�s primary collection. Housed within the palatial building on Ringstra�e, the museum�s works includes Madonna del Prato by Raphael and Diego Vel�zquez�s well-known portrait Infanta Margarita Teresa in a Blue Dress."
159,Museo de Arte de Puerto Rico,Museums/Art Galleries,"Inaugurated in 2000, Museo de Arte de Puerto Rico�s mission is to promote visual arts from Puerto Rico and around the world to a diverse audience. The museum�s primary and expansive collection of Puerto Rican art ranges from the 16th-century to the present. The museum includes pieces such as Chula (Girl in typical Madrid Costume) by Jos� Cuchy y Arnau and the 18th-century work The Daughters of Governor Ram�n de Castro by Jos� Campeche."
160,The San Francisco Museum of Modern Art,Museums/Art Galleries,"The first museum on the West Coast devoted solely to 20th-century art since 1935, the San Francisco Museum of Modern Art boasts an impressive seven floors of galleries with over 33,000 works and a wall seeded with thousands of plants. SFMOMA holds some of the most internationally recognizable modern art pieces including Henri Matisse�s Woman with a Hat and Marcel Duchamp�s provocative Fountain. This content is created and maintained by a third party, and imported onto this page to help users provide their email addresses. You may be able to find more information about this and similar content at piano.io"
